author,added,deleted,commits
Daniel Schierbeck,20,0,3
Daniel Schmidt,130,0,2
Daniel Schroeder,2,2,1
Daniel Spangenberg,29,15,1
Daniel del Castillo,3,3,2
Danny Cosson,1,0,1
Daren Desjardins,10,0,2
Darren White,16,2,2
Dave Cunningham,2662,1110,41
Dave D'Amico,6,0,1
Dave McDermid,37,0,1
Dave Walter,39,25,1
David Adams,34,12,2
David Blooman,416,0,1
David Bouchare,8,3,1
David Celis,7,153,1
David Gillies,4,0,1
David Glasser,293,162,14
David Harris,909,110,19
David Joos,2,2,1
David Kelly,2,2,1
David Laing,2,0,1
David Lanner,2,2,1
David Meyer,55,2,2
David Radcliffe,322,17,7
David Tolnay,207,98,14
David Watson,1377,71,14
David Winterbottom,4,4,1
Davide Agnello,478,40,3
Dejan Golja,9,3,1
Dennis Webb,12,10,6
Derek Abdine,456,0,1
Derek Richard,15,1,1
Derrick Petzold,39,2,1
Devin Lundberg,1,1,1
Diego Rodriguez,1,1,1
Dirk Avery,2,2,1
Dmitrii Korotovskii,124,0,1
Dmytro Aleksandrov,587,4,3
Dominik Lekse,262,32,2
Dominik-K,1,1,1
Doug Neal,208,35,7
Dr Nic Williams,29,74,1
Drew Minnear,66,1,1
Duncan,16,7,1
Dustin J. Mitchell,6,2,2
Dylan Conrad Johnson,9,3,1
Dylan Vaughn,80,16,3
Eamon Hetherton,8,1,1
Eddie Forson,5,4,1
Eddy Hernandez,4,0,1
Edmund Craske,3,0,1
Edward Betts,7,7,1
Edward Muller,569,101,2
Eli Shvartsman,2,2,1
Elliot Graebert,11,0,1
Eloy Coto,63,22,3
Emil Hessman,432,210,20
Eric Bellemon,324,25,3
Eric Buth,251,3,3
Eric Connell,29,7,1
Eric Krupnik,1,1,1
Eric Lee,8,1,1
Eric Nieuwenhuijsen,213,0,1
Eric Robert,12,0,1
Eric Rutherford,14,7,5
Eric Westfall,1,1,1
Erik Jansson,1074,28,8
Ernest W. Durbin III,1274,643,4
Ethan,1,1,1
Ethan Gunderson,1,1,1
Eugene Chuvyrov,194,16,3
Evan Brown,2530,362,25
Evan Krall,1,2,1
Evan Phoenix,27,13,4
Evgeny Chuvpilo,25,4,1
Eyal Posener,0,12,1
Farid Neshat,4,3,1
Fatih Arslan,71,18,5
Federico Ceratto,61,9,1
Felivel Camilo,19,2,2
Felix Rodriguez,3,3,1
Ferran Rodenas,332,0,2
Florian Forster,817,784,32
Florin Patan,67,7,3
Frederic,3,0,1
F†bio Matavelli,67,0,1
Gabi Davar,3,0,1
Gareth Oakley,30,0,1
Garfield Freeman,1,1,1
Garrett Heel,168,13,3
Garrett Johnson,181,0,1
Gaurav Chaturvedi,6,5,3
Gauthier Wallet,2015,86,14
Gavin James,56,2,2
Gavin Williams,1464,697,37
George Hartzell,116,1,2
Gepser Hoil,4,4,1
Gerben Jacobs,6,0,1
Gerrit Tamboer,79,27,3
Glen Mailer,12,7,1
Glenn Poston,83,0,1
Gopal Singhal,1,1,1
Gordon Shankman,4,0,1
Gorka Lerchundi Osa,62,0,2
Graham Davison,7,4,1
Graham Floyd,8,0,1
Greg Aker,15,0,2
Greg Osuri,48,17,6
Greg Thole,93,13,2
Grisha Trubetskoy,1,1,1
"Gruendler, Daniel (415)",1,1,1
GrÇgoire Pineau,5,0,1
Guido Bakker,3,0,1
Guillaume Giamarchi,1794,925,22
Guillaume J. Charmes,1,1,1
Gustavo,14,0,1
Hany Fahim,166,36,16
Hao,27,2,1
Hao-kang Den,26,5,2
Harry Hull,1,0,1
Harry Macey,4,0,1
Hasan Ramezani,1,1,1
Hasan Tu?rken,163,62,3
HashiBot,1,1,1
He Guimin,1978,277,10
Hector Castro,1,1,1
Hector Rivas Gandara,36,10,4
Henrik Hodne,699,0,2
Henry Bell,1,1,1
Herkermer Sherwood,3,4,1
Hugo Duncan,3,2,1
INADA Naoki,58,55,2
Ian Atha,1,0,1
Ian Delahorne,6,0,1
Ian Duffy,182,129,2
Ian L,202,0,2
Ian Morgan,1,1,1
Igor Dubinskiy,5,4,1
Igor Vuk,48,47,12
Igor Wiedler,92,90,1
Ivan Fuyivara,326,0,1
Ivan Kalita,62,8,2
Ivan Pedersen,1,1,1
JB Arsenault,13,0,1
JWal31,28,0,1
Jack Bruno,3385,41,4
Jack Pearkes,6129,1282,156
Jacob Severson,566,6,2
Jacques Lemieux,15,11,1
Jahn Saito,690,0,2
Jake,1162,0,2
Jake Champlin,9262,5769,249
Jake Pusateri,4,4,1
Jakub Janczak,507,56,8
James Bardin,54056,282006,1324
James Healy,28,0,2
James McGill,13,14,1
James Nugent,22780,17372,469
James Rasell,1,1,1
James Stremick,32,25,3
James Turnbull,3,3,2
Jan Nabbefeld,604,0,1
Jan Schumann,610,42,5
Jan ?kr†?ek,3,1,1
Januar,16,1,1
Jared Biel,19,2,1
Jarrod Jackson,183,0,1
Jasmin Gacic,5509,385,11
Jason Berlinsky,2,1,1
Jason Felice,36,15,7
Jason Gedge,43,1,2
Jason Padvorac,6,0,1
Jason Riddle,6,1,2
Jason Waldrip,383,38,2
Jason Wieringa,10,0,1
Jay Wallace,0,2,1
Jay Wang,418,9,7
Jean Mertz,235,0,2
Jean-Franáois Pucheu,1,1,1
Jearvon Dharrie,1,1,1
Jeet Parekh,63,0,1
Jeff Bachtel,1,1,1
Jeff Goldschrafe,238,12,5
Jeff Green,0,1,1
Jeff Klukas,12,0,2
Jeff LaPlante,42,9,3
Jeff Mitchell,955,203,12
Jeff Tang,1038,1,4
Jeff Theriault,12,0,1
Jeff Thompson,22,28,1
Jeff Zellner,3,3,1
Jeff Zohrab,1,1,1
Jeremiah Snapp,18,6,1
Jeremy Asher,165,12,4
Jeremy Livingston,17,0,1
Jeroen de Korte,295,17,4
Jesse Adametz,1,1,1
Jesse Collier,9,0,1
Jesse Szwedko,796,146,11
Jesus Vazquez,2,1,1
Joakim Sernbrant,146,32,4
Joaqu°n Fern†ndez Campo,5,3,1
Joe Khoobyar,13,2,3
Joe Topjian,12060,3083,315
Joel Moss,28,3,2
Joel Thompson,53,0,1
Joel Vasallo,13,6,5
Joern Barthel,256,18,9
Johannes Boyne,134,0,1
Johannes WÅrbach,118,9,1
John Bowler,5,4,2
John Bresnahan,2,2,1
John E. Vincent,124,6,1
John Engelman,1934,189,26
John Ewart,1437,146,14
John Gosset,3,2,1
John Murphy,1,1,1
John Wards,2,2,2
Jon Burgess,4,0,1
Jon Oden,143,135,2
Jon Perritt,5976,3163,59
Jon-Erik Schneiderhan,1,1,1
Jonathan Camp,6,7,1
Jonathan Kinred,8,0,1
Jonathan Leibiusky,176,0,1
Jonathan McCall,24,17,4
Jonathan Mettes,47,2,1
Jonathan Rudenberg,26,10,1
Jonty Wareing,6,0,1
Jorge Nu?n?ez,20,1,1
Joseph Anthony Pasquale Holsten,1873,315,6
Joseph Herlant,22,22,1
Joseph Kordish,17,0,1
Jose? F. Romaniello,20,0,1
Josh Bleecher Snyder,280,38,6
Josh Cooley,1,1,1
Josh Grancell,1,1,1
Josh Masseo,311,0,1
Josh Myers,172,0,1
Josh Taylor,94,5,1
Josh VanderLinden,23,8,3
Joshua Carp,114,77,4
Joshua Garnett,46,0,2
Joshua Lund,1,1,1
Joshua Seidel,60,37,7
Joshua Semar,4,3,2
Joshua Spence,941,175,17
Juan Carlos Alonso,2,2,1
Julian Schneider,7,0,1
Julien Fabre,50,0,1
Julien Pivotto,209,97,5
Julien Vey,386,304,8
Jurnell Cockhren,5,3,2
Justin Campbell,994,280,46
Justin Clark,15,2,4
Justin DiPierro,22,11,4
Justin Downing,6,6,1
Justin LaRose,1,1,1
Justin Marney,10,0,1
Justin Nauman,284,97,10
KOJIMA Kazunori,953,13,7
Kannan Goundan,82,18,4
Karol Stepniewski,27,0,1
Karol St?pniewski,18,10,1
Katelyn Perry,1,1,1
Katy Moe,0,10,1
Kaveh Mousavi Zamani,47,35,2
Kazuma Watanabe,41,9,2
Kazumichi Yamamoto,1860,0,3
Kazunori Kojima,336,26,13
Kelvin Law,42,21,1
KensoDev,14,2,3
Kent 'picat' Gruber,4,0,1
Kent Wang,20,17,2
Kerim Satirli,1,1,1
Keshav Varma,961,0,1
Kevin Carmody,1,1,1
Kevin Crawley,141,48,2
Kevin DeJong,19,0,1
Kevin Fishner,0,1,1
Kevin Nuckolls,44,9,4
Kevin Visscher,20,0,1
Kevin van Zonneveld,1,1,1
Kim Ngo,4,0,2
Kirill Shirinkin,155,16,7
Kit Ewbank,1924,135,38
Koen De Causmaecker,45,13,4
Kostas Theodorakopoulos,1,1,1
Kraig Amador,620,142,8
Kristin,4,2,1
