author,added,deleted,commits
Valentin Pichard,582,533,1
Vasily Tarasov,30,0,1
Verdoãa Laurent,2,2,1
Vicken Simonian,3,3,1
Vincent Latombe,8,0,1
Vincenzo Prignano,280,0,1
Vladislav Rassokhin,329,139,3
Wang Guoliang,6,12,1
Warren Konkel,1,1,1
Will May,150,2,2
Willem van Vliet,8,0,1
William Bowling,7,1,1
Xavier Sellier,27,5,4
Xu Wang,14,7,1
Yahya Poonawala,58,0,3
Yamamoto,1,1,1
Yann DEGAT,1633,34,3
Yasuhiko Katoh,1,1,1
Yecheng Fu,2,2,1
Yo Takezawa,18,7,4
Yuji Yamano,4,4,1
Yukihiko SAWANOBORI,15,0,1
Yusuke Goto,491,0,1
YuusukeMatsuura,16,11,1
Yuya Kusakabe,9,0,1
Yves Blusseau,72,30,4
Zach Gershman,4,3,1
Zachary Salzbank,7,0,1
_jac,16,0,1
aheeren,12,6,1
aibou,28,5,1
ajayk,7,20,3
albert,1,0,1
anniehedgpeth,424,180,6
aqche,1,1,1
avichalbadaya,2,1,1
aznashwan,3120,777,13
bclodius,27,12,1
bdd,30,32,8
benjvi,2,2,1
bill fumerola,84,30,1
cagriy,1,1,1
chris,61,0,1
chrisjob1021,11,0,1
chrislovecnm,1,1,1
clint,506,491,17
clint shryock,6892,2450,196
cmorent,57,10,4
craigatgoogle,19,0,1
cvvs,12,20,2
danielcbright,1580,0,2
dannytrigo,1,1,1
dario-simonetti,14,4,1
ddcprg,13,1,2
ddegoede,269,0,1
dedamico,1,1,1
demonwy,4931,683,3
deoxxa,89,7,1
dj80hd,1,1,1
djuke,5,1,1
djworth,1,1,1
dkalleg,2291,115,14
duncan,13,0,1
ebilhoo,280,61,5
edmundcraske,3,0,1
emily,80,6,2
enm10k,1,1,1
ephemeralsnow,51,20,1
evalphobia,2,2,1
f440,1,0,1
findkim,263,92,10
fossabot,5,0,1
gkze,445,0,2
goraxe,8,0,1
grayaii,2,6,2
gulyasm,1,1,1
hasheddan,1,1,1
hiroqn,6,0,1
hmcgonig,14,8,1
innossh,22,1,1
jasminSPC,380,106,2
jba,296,92,8
jbwyatt4,1,1,1
jd3nn1s,6,7,1
jmasseo,2,2,2
joel.ringuette,6,0,1
johnthedev97,4,4,1
jorge.marey,49,15,1
jrperritt,531,1,2
jugatsu,1,1,1
julius-bonial,5,5,1
justnom,60,4,2
jwa,1,1,1
