entity,n-authors,n-revs
builtin/providers/aws/resource_aws_ebs_volume.go,12,20
helper/resource/state.go,12,20
builtin/providers/aws/resource_aws_volume_attachment.go,12,19
builtin/providers/google/resource_compute_route.go,12,19
builtin/providers/aws/resource_aws_vpn_connection_test.go,12,19
builtin/providers/google/resource_compute_instance_group_manager_test.go,12,18
builtin/providers/google/resource_compute_instance_template_test.go,12,18
helper/schema/field_writer_map.go,12,18
builtin/providers/google/resource_compute_target_pool.go,12,17
terraform/instancetype_string.go,12,16
builtin/providers/google/resource_compute_disk_test.go,12,16
builtin/providers/digitalocean/provider.go,12,15
builtin/providers/digitalocean/resource_digitalocean_record_test.go,12,15
terraform/context_test.go,11,425
version/version.go,11,99
helper/schema/resource_data.go,11,97
command/init_test.go,11,80
helper/schema/provider.go,11,50
config.go,11,47
command/validate.go,11,44
builtin/provisioners/remote-exec/resource_provisioner.go,11,44
builtin/providers/heroku/resource_heroku_app.go,11,41
builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,11,36
helper/resource/testing_test.go,11,35
builtin/providers/postgresql/provider.go,11,34
builtin/providers/azurerm/resource_arm_storage_account.go,11,33
builtin/providers/aws/resource_aws_security_group_rule_test.go,11,29
builtin/providers/openstack/config.go,11,27
builtin/providers/google/resource_container_cluster_test.go,11,26
builtin/providers/aws/tags.go,11,23
builtin/providers/openstack/resource_openstack_networking_port_v2.go,11,23
builtin/providers/azurerm/resource_arm_virtual_network.go,11,23
builtin/providers/openstack/resource_openstack_networking_router_v2.go,11,23
builtin/providers/cloudflare/resource_cloudflare_record.go,11,22
builtin/providers/aws/resource_aws_elasticsearch_domain.go,11,22
builtin/providers/azurerm/resource_arm_network_interface_card.go,11,21
builtin/providers/aws/cloudfront_distribution_configuration_structure.go,11,21
builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,11,20
builtin/providers/aws/resource_aws_rds_cluster_instance_test.go,11,20
builtin/providers/heroku/resource_heroku_app_test.go,11,20
builtin/providers/aws/resource_aws_s3_bucket_object_test.go,11,19
helper/resource/wait.go,11,19
builtin/providers/aws/resource_aws_sqs_queue.go,11,19
builtin/provisioners/local-exec/resource_provisioner_test.go,11,18
builtin/providers/azurerm/resource_arm_public_ip.go,11,17
builtin/providers/aws/resource_aws_vpn_connection.go,11,16
builtin/providers/aws/resource_aws_spot_fleet_request.go,11,16
builtin/providers/aws/resource_aws_codedeploy_deployment_group.go,11,16
builtin/providers/aws/resource_aws_vpc_endpoint.go,11,15
builtin/providers/google/resource_storage_bucket.go,11,14
builtin/providers/aws/resource_aws_iam_policy_attachment_test.go,11,14
builtin/providers/aws/resource_aws_sns_topic_test.go,11,14
builtin/providers/aws/resource_aws_kinesis_stream.go,11,14
builtin/providers/aws/auth_helpers.go,11,14
builtin/providers/docker/resource_docker_image_test.go,11,13
builtin/providers/google/resource_compute_backend_service_test.go,11,13
terraform/resource.go,10,127
command/meta_backend.go,10,103
terraform/state_test.go,10,101
terraform/transform_resource.go,10,80
command/plan_test.go,10,77
plugin/discovery/get.go,10,65
command/push.go,10,64
command/show.go,10,62
config/loader_hcl.go,10,45
communicator/ssh/communicator.go,10,36
builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,10,33
builtin/providers/aws/resource_aws_db_parameter_group_test.go,10,28
builtin/providers/openstack/resource_openstack_blockstorage_volume_v1.go,10,28
helper/schema/field_reader_config_test.go,10,27
builtin/providers/aws/resource_aws_ecs_service_test.go,10,26
builtin/providers/aws/resource_aws_vpc_peering_connection_test.go,10,26
builtin/providers/aws/resource_aws_eip_test.go,10,26
builtin/providers/google/resource_sql_database_instance.go,10,24
builtin/provisioners/habitat/resource_provisioner.go,10,24
helper/schema/field_reader.go,10,24
builtin/providers/consul/resource_provider.go,10,23
builtin/providers/aws/resource_aws_vpn_gateway_test.go,10,22
builtin/provisioners/remote-exec/resource_provisioner_test.go,10,22
builtin/provisioners/chef/linux_provisioner_test.go,10,22
builtin/providers/openstack/resource_openstack_fw_policy_v1.go,10,22
builtin/providers/google/resource_compute_network.go,10,21
builtin/providers/aws/resource_aws_opsworks_stack_test.go,10,20
helper/schema/field_reader_map.go,10,19
helper/schema/field_reader_diff_test.go,10,19
builtin/providers/heroku/resource_heroku_addon.go,10,18
builtin/providers/dnsimple/resource_dnsimple_record.go,10,18
builtin/providers/aws/resource_aws_cloudwatch_log_group.go,10,18
builtin/providers/cloudstack/provider_test.go,10,18
builtin/providers/google/resource_compute_forwarding_rule.go,10,17
builtin/providers/aws/resource_aws_elasticache_subnet_group.go,10,16
builtin/providers/azurerm/resource_arm_availability_set.go,10,16
builtin/providers/aws/resource_aws_kinesis_firehose_delivery_stream.go,10,16
builtin/providers/aws/resource_aws_cloudtrail_test.go,10,16
builtin/providers/google/resource_storage_bucket_test.go,10,14
builtin/providers/datadog/resource_datadog_timeboard.go,10,14
builtin/providers/google/resource_compute_http_health_check.go,10,14
builtin/providers/aws/resource_aws_emr_cluster.go,10,14
builtin/providers/aws/resource_aws_iam_instance_profile.go,10,14
builtin/providers/aws/resource_aws_api_gateway_integration.go,10,13
helper/schema/getsource_string.go,10,13
builtin/providers/azurerm/resource_arm_subnet.go,10,13
builtin/providers/aws/resource_aws_codedeploy_deployment_group_test.go,10,12
builtin/providers/fastly/resource_fastly_service_v1_test.go,10,12
builtin/providers/azurerm/resource_arm_virtual_network_test.go,10,12
builtin/providers/digitalocean/resource_digitalocean_domain.go,10,11
lang/funcs/collection.go,9,174
terraform/graph.go,9,168
lang/functions.go,9,163
terraform/eval_apply.go,9,162
config/config_test.go,9,117
terraform/context_validate_test.go,9,116
command/command_test.go,9,100
terraform/graph_builder.go,9,70
command/refresh_test.go,9,67
command/import.go,9,59
terraform/diff_test.go,9,54
command/graph.go,9,51
plugin/discovery/get_test.go,9,40
terraform/interpolate_test.go,9,40
config/interpolate_walk.go,9,37
helper/resource/testing_config.go,9,33
config/loader.go,9,32
builtin/providers/openstack/resource_openstack_lb_pool_v1.go,9,28
builtin/providers/openstack/resource_openstack_networking_network_v2.go,9,28
builtin/providers/aws/resource_aws_elasticache_cluster_test.go,9,26
command/output_test.go,9,25
builtin/providers/azure/resource_azure_instance_test.go,9,25
terraform/graphtype_string.go,9,25
backend/remote-state/s3/backend.go,9,23
builtin/provisioners/file/resource_provisioner.go,9,21
builtin/providers/aws/resource_aws_subnet_test.go,9,21
builtin/providers/aws/resource_aws_kms_key.go,9,20
builtin/providers/aws/resource_aws_alb.go,9,20
builtin/providers/aws/resource_aws_internet_gateway_test.go,9,20
helper/validation/validation.go,9,20
builtin/providers/aws/resource_aws_dynamodb_table_test.go,9,20
builtin/providers/aws/resource_aws_elastic_beanstalk_environment_test.go,9,20
builtin/providers/aws/resource_aws_network_interface_test.go,9,20
builtin/providers/cloudstack/provider.go,9,20
builtin/providers/aws/resource_aws_sns_topic_subscription.go,9,19
builtin/providers/statuscake/resource_statuscaketest.go,9,17
builtin/providers/aws/resource_aws_ebs_volume_test.go,9,17
helper/validation/validation_test.go,9,17
builtin/providers/aws/resource_aws_db_security_group_test.go,9,17
builtin/providers/azurerm/resource_arm_network_security_group.go,9,17
builtin/providers/google/resource_compute_address.go,9,16
builtin/providers/statuscake/resource_statuscaketest_test.go,9,16
builtin/providers/azurerm/resource_arm_local_network_gateway.go,9,16
builtin/providers/aws/resource_aws_cloudformation_stack.go,9,16
builtin/providers/aws/resource_aws_iam_server_certificate.go,9,16
builtin/providers/azurerm/resource_arm_virtual_machine_scale_set_test.go,9,16
