entity,n-authors,n-revs,soc,robot-type
helper/schema/field_reader_diff.go,12.0,26.0,1083.0,0
builtin/providers/azure/resource_azure_instance.go,12.0,26.0,2603.0,1
builtin/providers/aws/resource_aws_rds_cluster_instance.go,12.0,22.0,2466.0,1
builtin/providers/aws/resource_aws_cloudfront_distribution.go,12.0,22.0,2380.0,1
terraform/walkoperation_string.go,12.0,22.0,1197.0,0
builtin/providers/google/resource_compute_firewall.go,12.0,21.0,2574.0,1
helper/schema/set.go,12.0,20.0,1032.0,0
builtin/providers/aws/resource_aws_ebs_volume.go,12.0,20.0,2775.0,1
helper/resource/state.go,12.0,20.0,1062.0,0
builtin/providers/aws/resource_aws_volume_attachment.go,12.0,19.0,2666.0,1
builtin/providers/google/resource_compute_route.go,12.0,19.0,2583.0,1
helper/schema/field_writer_map.go,12.0,18.0,1019.0,0
builtin/providers/google/resource_compute_target_pool.go,12.0,17.0,2547.0,1
terraform/instancetype_string.go,12.0,16.0,1131.0,0
builtin/providers/digitalocean/provider.go,12.0,15.0,2415.0,1
helper/schema/resource_data.go,11.0,95.0,1275.0,0
version/version.go,11.0,94.0,107.0,0
config.go,11.0,46.0,234.0,0
builtin/provisioners/remote-exec/resource_provisioner.go,11.0,44.0,114.0,0
helper/schema/provider.go,11.0,42.0,2070.0,1
builtin/providers/heroku/resource_heroku_app.go,11.0,41.0,2396.0,1
builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,11.0,36.0,2693.0,1
builtin/providers/postgresql/provider.go,11.0,34.0,2364.0,1
builtin/providers/azurerm/resource_arm_storage_account.go,11.0,33.0,2618.0,1
command/validate.go,11.0,30.0,929.0,0
builtin/providers/openstack/config.go,11.0,27.0,2375.0,1
builtin/providers/aws/tags.go,11.0,23.0,2631.0,1
builtin/providers/openstack/resource_openstack_networking_port_v2.go,11.0,23.0,2581.0,1
builtin/providers/azurerm/resource_arm_virtual_network.go,11.0,23.0,2669.0,1
builtin/providers/openstack/resource_openstack_networking_router_v2.go,11.0,23.0,2599.0,1
builtin/providers/cloudflare/resource_cloudflare_record.go,11.0,22.0,2418.0,1
helper/schema/field_reader_config.go,11.0,22.0,1081.0,0
builtin/providers/aws/resource_aws_elasticsearch_domain.go,11.0,22.0,2403.0,1
builtin/providers/azurerm/resource_arm_network_interface_card.go,11.0,21.0,2669.0,1
builtin/providers/aws/cloudfront_distribution_configuration_structure.go,11.0,21.0,2367.0,1
builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,11.0,20.0,2589.0,1
builtin/providers/aws/resource_aws_sqs_queue.go,11.0,19.0,2655.0,1
builtin/providers/azurerm/resource_arm_public_ip.go,11.0,17.0,2672.0,1
builtin/providers/aws/resource_aws_vpn_connection.go,11.0,16.0,2777.0,1
builtin/providers/aws/resource_aws_spot_fleet_request.go,11.0,16.0,2337.0,1
builtin/providers/aws/resource_aws_codedeploy_deployment_group.go,11.0,16.0,2401.0,1
builtin/providers/aws/resource_aws_vpc_endpoint.go,11.0,15.0,2452.0,1
builtin/providers/google/resource_storage_bucket.go,11.0,14.0,2499.0,1
builtin/providers/aws/resource_aws_kinesis_stream.go,11.0,14.0,2581.0,1
builtin/providers/aws/auth_helpers.go,11.0,14.0,2356.0,1
command/meta_backend.go,10.0,92.0,2092.0,1
terraform/resource.go,10.0,91.0,3075.0,1
terraform/transform_resource.go,10.0,80.0,388.0,0
command/push.go,10.0,62.0,435.0,0
plugin/discovery/get.go,10.0,54.0,1165.0,0
command/show.go,10.0,51.0,1653.0,1
config/loader_hcl.go,10.0,44.0,809.0,0
communicator/ssh/communicator.go,10.0,36.0,114.0,0
builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,10.0,33.0,2668.0,1
builtin/providers/openstack/resource_openstack_blockstorage_volume_v1.go,10.0,28.0,2612.0,1
builtin/providers/google/resource_sql_database_instance.go,10.0,24.0,2488.0,1
builtin/providers/consul/resource_provider.go,10.0,23.0,2469.0,1
helper/schema/field_reader.go,10.0,23.0,1085.0,0
builtin/providers/openstack/resource_openstack_fw_policy_v1.go,10.0,22.0,2561.0,1
builtin/providers/google/resource_compute_network.go,10.0,21.0,2554.0,1
helper/schema/field_reader_map.go,10.0,19.0,1081.0,0
builtin/providers/heroku/resource_heroku_addon.go,10.0,18.0,2392.0,1
helper/resource/wait.go,10.0,18.0,1116.0,0
builtin/providers/dnsimple/resource_dnsimple_record.go,10.0,18.0,2419.0,1
builtin/providers/aws/resource_aws_cloudwatch_log_group.go,10.0,18.0,2344.0,1
builtin/providers/google/resource_compute_forwarding_rule.go,10.0,17.0,2575.0,1
builtin/providers/aws/resource_aws_elasticache_subnet_group.go,10.0,16.0,2720.0,1
builtin/providers/azurerm/resource_arm_availability_set.go,10.0,16.0,2498.0,1
builtin/providers/aws/resource_aws_kinesis_firehose_delivery_stream.go,10.0,16.0,2428.0,1
builtin/providers/datadog/resource_datadog_timeboard.go,10.0,14.0,2346.0,1
builtin/providers/google/resource_compute_http_health_check.go,10.0,14.0,2537.0,1
builtin/providers/aws/resource_aws_emr_cluster.go,10.0,14.0,2339.0,1
builtin/providers/aws/resource_aws_iam_instance_profile.go,10.0,14.0,2631.0,1
builtin/providers/aws/resource_aws_api_gateway_integration.go,10.0,13.0,2405.0,1
helper/schema/getsource_string.go,10.0,13.0,1106.0,0
builtin/providers/azurerm/resource_arm_subnet.go,10.0,13.0,2619.0,1
builtin/providers/digitalocean/resource_digitalocean_domain.go,10.0,11.0,2438.0,1
terraform/graph.go,9.0,158.0,3278.0,2
terraform/eval_apply.go,9.0,98.0,3735.0,2
lang/funcs/collection.go,9.0,82.0,287.0,0
terraform/graph_builder.go,9.0,57.0,3193.0,2
command/import.go,9.0,44.0,2423.0,1
command/graph.go,9.0,42.0,2353.0,1
builtin/providers/openstack/resource_openstack_lb_pool_v1.go,9.0,28.0,2721.0,1
builtin/providers/openstack/resource_openstack_networking_network_v2.go,9.0,28.0,2673.0,1
backend/remote-state/s3/backend.go,9.0,23.0,33.0,0
helper/resource/testing_config.go,9.0,22.0,3300.0,2
builtin/provisioners/habitat/resource_provisioner.go,9.0,22.0,415.0,0
builtin/provisioners/file/resource_provisioner.go,9.0,21.0,84.0,0
builtin/providers/aws/resource_aws_kms_key.go,9.0,20.0,2339.0,1
builtin/providers/aws/resource_aws_alb.go,9.0,20.0,2345.0,1
helper/validation/validation.go,9.0,20.0,991.0,0
builtin/providers/cloudstack/provider.go,9.0,20.0,2416.0,1
builtin/providers/aws/resource_aws_sns_topic_subscription.go,9.0,19.0,2609.0,1
terraform/graphtype_string.go,9.0,19.0,1167.0,0
builtin/providers/statuscake/resource_statuscaketest.go,9.0,17.0,2342.0,1
builtin/providers/azurerm/resource_arm_network_security_group.go,9.0,17.0,2666.0,1
builtin/providers/google/resource_compute_address.go,9.0,16.0,2572.0,1
builtin/providers/azurerm/resource_arm_local_network_gateway.go,9.0,16.0,2576.0,1
builtin/providers/aws/resource_aws_cloudformation_stack.go,9.0,16.0,2417.0,1
builtin/providers/aws/resource_aws_iam_server_certificate.go,9.0,16.0,2620.0,1
builtin/providers/aws/resource_aws_route53_health_check.go,9.0,15.0,2480.0,1
builtin/providers/azurerm/resource_arm_cdn_profile.go,9.0,14.0,2680.0,1
builtin/providers/aws/resource_aws_iam_group.go,9.0,14.0,2641.0,1
builtin/providers/aws/resource_aws_iam_policy.go,9.0,14.0,2688.0,1
builtin/providers/google/resource_compute_project_metadata.go,9.0,14.0,2550.0,1
builtin/providers/aws/data_source_aws_ami.go,9.0,13.0,2351.0,1
builtin/providers/aws/resource_aws_vpc_dhcp_options.go,9.0,13.0,2780.0,1
builtin/providers/aws/resource_aws_db_option_group.go,9.0,12.0,2361.0,1
builtin/providers/github/provider.go,9.0,11.0,2361.0,1
builtin/providers/google/resource_compute_autoscaler.go,9.0,11.0,2487.0,1
builtin/providers/digitalocean/resource_digitalocean_ssh_key.go,9.0,10.0,2405.0,1
builtin/providers/docker/resource_docker_image_funcs.go,9.0,10.0,2347.0,1
builtin/providers/aws/resource_aws_iam_role_policy.go,9.0,10.0,2561.0,1
helper/plugin/grpc_provider.go,8.0,108.0,356.0,0
terraform/transform_provider.go,8.0,93.0,3297.0,2
lang/functions.go,8.0,78.0,458.0,0
terraform/interpolate.go,8.0,74.0,2664.0,1
terraform/eval_state.go,8.0,64.0,3327.0,2
backend/local/backend.go,8.0,54.0,1970.0,1
command/hook_ui.go,8.0,50.0,1328.0,0
terraform/node_data_refresh.go,8.0,41.0,3189.0,2
version.go,8.0,40.0,64.0,0
terraform/graph_config_node_resource.go,8.0,40.0,242.0,0
terraform/plan.go,8.0,38.0,2897.0,1
config/interpolate_walk.go,8.0,36.0,803.0,0
builtin/providers/terraform/data_source_state.go,8.0,34.0,3800.0,2
backend/remote/backend_plan.go,8.0,34.0,336.0,0
command/state_mv.go,8.0,33.0,1218.0,0
builtin/providers/aws/resource_aws_elastic_beanstalk_environment.go,8.0,31.0,2361.0,1
config/loader.go,8.0,31.0,693.0,0
builtin/providers/openstack/resource_openstack_lb_vip_v1.go,8.0,25.0,2653.0,1
builtin/providers/cloudstack/resources.go,8.0,24.0,2471.0,1
command/command.go,8.0,24.0,303.0,0
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,8.0,22.0,2649.0,1
backend/remote-state/gcs/backend.go,8.0,22.0,37.0,0
registry/client.go,8.0,21.0,175.0,0
builtin/providers/openstack/resource_openstack_fw_firewall_v1.go,8.0,20.0,2577.0,1
helper/resource/testing_import_state.go,8.0,19.0,2964.0,1
builtin/providers/consul/resource_consul_keys.go,8.0,19.0,2417.0,1
builtin/providers/azurerm/resource_arm_loadbalancer_rule.go,8.0,19.0,2603.0,1
builtin/providers/google/resource_compute_vpn_tunnel.go,8.0,18.0,2538.0,1
helper/schema/provisioner.go,8.0,17.0,2595.0,1
builtin/providers/postgresql/config.go,8.0,17.0,2355.0,1
builtin/providers/aws/resource_aws_ecs_task_definition.go,8.0,16.0,2487.0,1
builtin/providers/aws/resource_aws_key_pair.go,8.0,16.0,2511.0,1
command/remote_config.go,8.0,15.0,199.0,0
builtin/providers/digitalocean/resource_digitalocean_floating_ip.go,8.0,14.0,2444.0,1
builtin/providers/heroku/provider.go,8.0,14.0,2384.0,1
